"Game_ID";"Score_hole_1";"Score_hole_2";"Score_hole_3";"Score_hole_4";"Score_hole_5";"Score_hole_6";"Score_hole_7";"Score_hole_8";"Score_hole_9";"Score_hole_10";"Score_hole_11";"Score_hole_12";"Score_hole_13";"Score_hole_14";"Score_hole_15";"Score_hole_16";"Score_hole_17";"Score_hole_18";"TOTAL"
303;;4;;;;;;;;;;;;;;;;;82
304;4;3;4;6;6;6;6;3;5;6;7;5;4;7;;;;5;90
305;;;;;6;5;5;3;5;7;6;4;4;6;;;;;87
306;;;;;;;5;3;;;;;;;;;;;82
307;3;;;;;;;;;;;;;;;;4;4;78
308;;;5;3;3;4;5;3;5;;;;;;;;;;76
309;;;6;4;5;4;5;3;6;6;6;5;3;4;5;4;3;;83
310;5;6;6;;;;;5;6;7;5;6;4;6;4;6;6;8;103
311;;;;3;7;5;6;3;4;6;4;5;3;5;3;4;;;80
312;;3;;;;;;;;;;;;;;;;;79
313;;;;;;;4;3;;;;;;;;;;;80
314;6;4;6;;;;;;;;;;;5;3;6;4;7;91
315;5;6;6;4;5;3;6;4;5;5;;;;;;;;;86
316;5;5;6;5;8;3;4;3;5;6;4;;;;;;3;5;85
317;5;4;4;4;5;4;;;;5;4;6;4;4;3;4;3;3;74
318;;;;;;;;;5;5;;;;;;;;;82
319;;;;;;;5;;;;;;;;;;;;84
320;;;;;8;4;5;3;5;6;6;5;3;5;3;7;3;6;87
321;;;;4;5;3;5;3;7;4;7;5;3;;;;;;82
322;3;3;3;4;6;3;5;3;4;4;4;;;;;;;5;70
323;4;;;4;8;5;7;4;5;5;7;5;4;7;6;6;5;8;101
324;;;;3;9;6;4;3;5;6;6;7;4;5;;;;;91
325;;;;;6;7;3;4;4;6;5;5;4;5;4;6;3;;85
326;7;4;;4;5;4;7;3;5;5;7;5;3;4;4;5;4;4;85
327;;;;;;;;;;;6;4;3;5;3;6;4;7;86
328;3;4;6;3;6;4;7;4;4;6;5;;;;5;4;6;5;86
